name,category,phyAtk,magAtk,fireAtk,ligtAtk,holyAtk,critAtk,sorAtk,incAtk,phyGuard,magGuard,fireGuard,ligtGuard,holyGuard,boostGuard,strScale,dexScale,intScale,faiScale,arcScale,strReq,dexReq,intReq,faiReq,arcReq,damageTypes,weaponSkill,fpCost,weight,passive,poison,hemorrhage,frostbite,scarletRot,sleep,madness,deathBlight,upgradeType,url
"Rivers of Blood","Katana","76","0","76","0","0","100","0","0","36","26","52","26","26","31","E","D","-","-","D","12","18","-","-","20","Slash/Pierce","Corpse Piler","17","6.5","-","-","50","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Rivers+of+Blood"
"Dragonscale Blade","Katana","110","0","0","0","0","100","0","0","35","25","25","50","25","30","D","C","-","-","-","12","20","-","-","-","Slash/Pierce","Ice Lightning Sword","25","5.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Dragonscale+Blade"
"Hand of Malenia","Katana","117","0","0","0","0","100","0","0","49","33","33","33","33","33","E","C","-","-","-","16","48","-","-","-","Slash/Pierce","Waterfowl Dance","12","7.0","-","-","50","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Hand+of+Malenia"
"Star-Lined Sword","Katana","82","82","0","0","0","100","0","0","34","48","24","24","24","29","E","C","D","-","-","10","23","21","-","-","Slash/Pierce","Onze's Line of Stars","10","5.0","-","-","45","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Star-Lined+Sword"
"Sword of Night","Katana","110","33","0","0","0","100","0","0","43","35","27","27","27","30","-","C","-","-","-","11","20","-","-","-","Slash/Pierce","Witching Hour Slash","21","6.5","-","-","45","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Sword+of+Night"
"Twinblade","Twinblade","119","0","0","0","0","100","0","0","45","30","30","30","30","30","D","D","-","-","-","10","18","-","-","-","Standard/Pierce","Spinning Slash","6","7.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Twinblade"
"Godskin Peeler","Twinblade","121","0","0","0","0","100","0","0","47","31","31","31","31","31","E","C","-","-","-","17","22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Godskin+Peeler"
"Black Steel Twinblade","Twinblade","112","0","0","0","33","100","0","0","47","31","31","31","31","31","D","D","-","D","-","18","15","-","13","-","Standard/Pierce","Spinning Slash","6","8.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Black+Steel+Twinblade"
"Euporia","Twinblade","84","0","0","0","100","100","0","0","32","26","26","26","59","32","D","D","-","D","-","16","16","-","24","-","Standard/Pierce","Euporia Vortex","28","8.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Euporia"
"Hand Axe","Axe","117","0","0","0","0","100","0","0","42","28","28","28","28","28","D","D","-","-","-","9","8","-","-","-","Standard","Quickstep","3","3.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Hand+Axe"
"Forked Hatchet","Axe","113","0","0","0","0","100","0","0","40","27","27","27","27","27","D","C","-","-","-","9","14","-","-","-","Standard","Quickstep","3","2.5","-","-","50","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Forked+Hatchet"
"Battle Axe","Axe","128","0","0","0","0","100","0","0","47","31","31","31","31","31","D","D","-","-","-","12","8","-","-","-","Standard","Wild Strikes","1","4.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Battle+Axe"
"Warped Axe","Axe","124","0","0","0","0","100","0","0","56","37","37","37","37","43","C","-","-","-","-","24","8","-","-","-","Standard","War Cry","16","7.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Warped+Axe"
"Jawbone Axe","Axe","130","0","0","0","0","100","0","0","49","33","33","33","33","36","C","E","-","-","-","14","8","-","-","-","Strike","Wild Strikes","1","5.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Jawbone+Axe"
"Iron Cleaver","Axe","125","0","0","0","0","100","0","0","51","34","34","34","34","34","C","E","-","-","-","15","7","-","-","-","Standard","Wild Strikes","1","6.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Iron+Cleaver"
"Highland Axe","Axe","128","0","0","0","0","110","0","0","47","31","31","31","31","31","D","D","-","-","-","12","9","-","-","-","Standard","War Cry","16","4.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Highland+Axe"
"Sacrificial Axe","Axe","133","0","0","0","0","100","0","0","49","33","33","33","33","33","D","D","-","-","-","16","10","-","-","-","Standard","Wild Strikes","2","5.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Sacrificial+Axe"
"Icerind Hatchet","Axe","115","0","0","0","0","100","0","0","40","27","27","27","27","27","E","C","-","-","-","11","16","-","-","-","Standard","Hoarfrost Stomp","10","3.0","-","-","-","65","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Icerind+Hatchet"
"Ripple Blade","Axe","75","0","0","0","0","100","0","0","47","31","31","31","31","31","-","-","-","-","A","11","11","-","-","20","Standard","Wild Strikes","2","4.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Ripple+Blade"
"Stormhawk Axe","Axe","136","0","0","0","0","100","0","0","49","33","33","33","33","31","D","D","-","-","-","19","15","-","-","-","Standard","Thunderstorm","19","5.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Stormhawk+Axe"
"Forked-Tongue Hatchet","Axe","125","0","0","0","0","100","0","0","45","30","30","30","30","30","D","D","-","-","-","10","13","-","-","-","Standard/Pierce","Dragonform Flame","14","4.0","-","-","50","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Forked-Tongue+Hatchet"
"Smithscript Axe","Axe","131","0","0","0","0","100","0","0","48","32","32","32","32","32","D","D","E","E","-","13","10","11","11","-","Standard","Wild Strikes","2","5.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Smithscript+Axe"
"Greataxe","Greataxe","151","0","0","0","0","100","0","0","69","37","37","37","37","45","D","D","-","-","-","30","8","-","-","-","Standard","Barbaric Roar","16","13.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Greataxe"
"Crescent Moon Axe","Greataxe","146","0","0","0","0","100","0","0","68","36","36","36","36","44","D","D","-","-","-","25","15","-","-","-","Standard","War Cry","16","12.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Crescent+Moon+Axe"
"Longhaft Axe","Greataxe","146","0","0","0","0","100","0","0","68","36","36","36","36","44","D","D","-","-","-","24","8","-","-","-","Standard","War Cry","16","12.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Longhaft+Axe"
"Great Omenkiller Cleaver","Greataxe","142","0","0","0","0","100","0","0","63","33","33","33","45","42","D","D","-","-","-","23","12","-","-","-","Standard","Wild Strike","2","11","-","-","55","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Great+Omenkiller+Cleaver"
"Rusted Anchor","Greataxe","147","0","0","0","0","100","0","0","68","36","36","36","36","44","C","E","-","-","-","26","9","-","-","-","Pierce","Barbaric Roar","16","12.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Rusted+Anchor"
"Butchering Knife","Greataxe","134","0","0","0","0","100","0","0","58","31","31","31","31","37","E","C","-","-","-","16","20","-","-","-","Standard","Barbaric Roar","16","8.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Butchering+Knife"
"Winged Greathorn","Greataxe","130","0","0","0","0","100","0","0","65","35","35","35","35","42","D","D","-","-","-","30","20","-","-","-","Standard","Soul Stifler","12","11.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Winged+Greathorn"
"Axe of Godrick","Greataxe","142","0","0","0","0","100","0","0","65","35","35","35","35","42","D","D","-","-","-","34","22","-","-","-","Standard","I Command Thee, Kneel!","15","11","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Axe+of+Godrick"
"Putrescence Cleaver","Greataxe","141","42","0","0","0","100","0","0","66","44","38","38","38","46","D","E","-","-","D","28","10","-","-","15","Slash","Spinning Guillotine","12","13.5","-","-","-","55","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Putrescence+Cleaver"
"Bonny Butchering Knife","Greataxe","134","0","0","0","0","100","0","0","58.0","31.0","31.0","31.0","31.0","37","C","D","-","-","-","16","20","-","-","-","Standard","Hone Blade","16","8.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Bonny+Butchering+Knife"
"Club","Hammer","103","0","0","0","0","100","0","0","41","27","27","27","27","27","C","-","-","-","-","10","-","-","-","-","Strike","Barbaric Roar","16","3.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Club"
"Curved Club","Hammer","114","0","0","0","0","100","0","0","45","30","30","30","30","30","C","E","-","-","-","11","7","-","-","-","Strike","Barbaric Roar","16","5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Curved+Club"
"Spiked Club","Hammer","114","0","0","0","0","100","0","0","45","30","30","30","30","30","D","D","-","-","-","12","7","-","-","-","Strike","Barbaric Roar","16","5.0","-","-","50","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Spiked+Club"
"Stone Club","Hammer","122","0","0","0","0","100","0","0","52","35","35","35","35","36","C","E","-","-","-","16","8","-","-","-","Strike","Kick","0","7","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Stone+Club"
"Mace","Hammer","115","0","0","0","0","100","0","0","45","30","30","30","30","30","D","D","-","-","-","12","7","-","-","-","Strike","Kick","0","4.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Mace"
"Morning Star","Hammer","118","0","0","0","0","100","0","0","47","31","31","31","31","31","D","D","-","-","-","12","8","-","-","-","Strike","Kick","0","5","-","-","50","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Morning+Star"
"Warpick","Hammer","108","0","0","0","0","100","0","0","40","27","27","27","27","27","D","D","-","-","-","11","9","-","-","-","Pierce","Kick","0","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Warpick"
"Hammer","Hammer","124","0","0","0","0","100","0","0","51","34","34","34","34","36","C","D","-","-","-","14","7","-","-","-","Strike","Kick","0","6.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Hammer"
"Nox Flowing Hammer","Hammer","122","0","0","0","0","100","0","0","51","34","34","34","34","34","C","E","-","-","-","17","7","-","-","-","Strike","Flowing Form","16","6.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Nox+Flowing+Hammer"
"Ringed Finger","Hammer","121","0","0","0","0","100","0","0","38","26","26","26","38","28","C","D","-","-","-","15","9","-","-","-","Strike","Claw Flick","14","4.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Ringed+Finger"
"Scepter of the All-Knowing","Hammer","99","64","0","0","0","100","0","0","36","36","25","25","25","27","E","D","D","-","-","12","18","21","-","-","Strike/Pierce","Knowledge Above All","35","4.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Scepter+of+the+All-Knowing"
"Flowerstone Gavel","Hammer","121","0","0","0","0","100","0","0","49","33","33","33","33","33","D","D","-","-","D","14","8","-","-","15","Pierce","Flower Dragonbolt","18","6.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Flowerstone+Gavel"
"Flail","Flail","112","0","0","0","0","100","0","0","36","24","24","24","24","20","D","D","-","-","-","10","18","-","-","-","Strike","Spinning Chain","8","5","-","-","50","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Flail"
"Nightrider Flail","Flail","115","0","0","0","0","100","0","0","37","25","25","25","25","21","E","C","-","-","-","10","24","-","-","-","Strike","Spinning Chain","8","-","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Nightrider+Flail"
"Chainlink Flail","Flail","112","0","0","0","0","100","0","0","43","28","28","28","28","24","C","E","-","-","-","18","12","-","-","-","Strike","Spinning Chain","8","8","-","-","50","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Chainlink+Flail"
"Serpent Flail","Flail","77","0","92","0","0","100","0","0","34","25","50","24","25","21","E","D","-","D","-","10","24","-","21","-","Strike","Flare, O Serpent","8","6.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Serpent+Flail"
"Large Club","Great Hammer","131","0","0","0","0","100","0","0","60","32","32","32","32","38","C","-","-","-","-","22","-","-","-","-","Strike","Barbaric Roar","16","8.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Large+Club"
"Curved Great Club","Great Hammer","145","0","0","0","0","100","0","0","68","36","36","36","36","44","D","D","-","-","-","24","10","-","-","-","Strike","Barbaric Roar","16","10.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Curved+Great+Club"
"Great Mace","Great Hammer","134","0","0","0","0","100","0","0","71","38","38","38","38","38","C","-","-","-","-","28","-","-","-","-","Strike","Endure","9","11.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Great+Mace"
"Pickaxe","Great Hammer","144","0","0","0","0","100","0","0","68","36","36","36","36","44","D","D","-","-","-","22","10","-","-","-","Pierce","Endure","9","10.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Pickaxe"
"Brick Hammer","Great Hammer","122","0","0","0","0","100","0","0","74","40","40","40","40","48","B","-","-","-","-","31","-","-","-","-","Strike","Barbaric Roar","16","12.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Brick+Hammer"
"Battle Hammer","Great Hammer","131","0","0","0","0","100","0","0","68","36","36","36","36","44","C","E","-","-","-","26","8","-","-","-","Strike","Braggart's Roar","16","10.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Battle+Hammer"
"Rotten Battle Hammer","Great Hammer","126","0","0","0","0","100","0","0","68","36","36","36","36","44","C","E","-","-","-","26","8","-","-","-","Strike","Braggart's Roar","16","10.0","-","-","-","-","65","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Rotten+Battle+Hammer"
"Greathorn Hammer","Great Hammer","134","0","0","0","0","100","0","0","65","35","35","35","35","42","D","D","-","-","-","22","10","-","-","-","Strike","Barbaric Roar","16","10.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Greathorn+Hammer"
"Cranial Vessel Candlestand","Great Hammer","98","0","98","0","0","100","0","0","71","37","51","37","37","48","D","E","-","D","-","26","8","-","22","-","Strike","Surge of Faith","15","12.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Cranial+Vessel+Candlestand"
"Beastclaw Greathammer","Great Hammer","116","0","0","0","75","100","0","0","62","33","33","33","45","42","D","D","-","D","-","20","10","-","18","-","Strike","Regal Beastclaw","20","9.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Beastclaw+Greathammer"
"Black Steel Greathammer","Great Hammer","140","0","0","0","42","100","0","0","72","38","38","38","45","47","C","E","-","D","-","25","11","-","17","-","Strike","Endure","9","12.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Black+Steel+Greathammer"
"Smithscript Greathammer","Great Hammer","141","0","0","0","0","100","0","0","65","35","35","35","35","42","C","E","E","D","-","20","10","11","11","-","Strike","Endure","9","9.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Smithscript+Greathammer"
"Duelist Greataxe","Colossal Weapon","170","0","0","0","0","100","0","0","78","47","47","47","47","52","E","D","-","-","-","30","10","-","-","-","Standard","Endure","9","20","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Duelist+Greataxe"
"Rotten Greataxe","Colossal Weapon","162","0","0","0","0","100","0","0","78","47","47","47","47","52","E","C","-","-","-","30","10","-","-","-","Standard","Endure","9","20.0","-","-","-","-","65","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Rotten+Greataxe"
"Giant-Crusher","Colossal Weapon","155","0","0","0","0","100","0","0","88","52","52","52","52","58","C","-","-","-","-","60","-","-","-","-","Strike","Endure","9","26.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Giant-Crusher"
"Great Club","Colossal Weapon","154","0","0","0","46","100","0","0","70","41","42","40","47","47","C","-","-","E","-","35","-","-","-","-","Strike","Golden Land","16","17.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Great+Club"
"Dragon Greatclaw","Colossal Weapon","120","0","0","78","0","100","0","0","66","40","40","52","40","47","D","D","-","-","-","30","14","-","-","-","Standard","Endure","9","16.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Dragon+Greatclaw"
"Staff of the Avatar","Colossal Weapon","113","0","0","0","73","100","0","0","73","45","45","45","57","52","C","E","-","D","-","34","8","-","24","-","Strike","Erdtree Slam","19","20.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Staff+of+the+Avatar"
"Rotten Staff","Colossal Weapon","165","0","0","0","0","100","0","0","75","45","45","45","45","50","D","E","-","-","-","34","8","-","-","-","Strike","Erdtree Slam","19","18","-","-","-","-","75","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Rotten+Staff"
"Fallingstar Beast Jaw","Colossal Weapon","131","85","0","0","0","100","0","0","70","55","43","43","43","50","D","D","E","-","-","34","12","20","-","-","Pierce","Gravity Bolt","13","21.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Fallingstar+Beast+Jaw"
"Axe of Godfrey","Colossal Weapon","165","0","0","0","0","100","0","0","75","45","45","45","45","50","D","D","-","-","-","42","14","-","-","-","Standard","Regal Roar","25","18","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Axe+of+Godfrey"
"Anvil Hammer","Colossal Weapon","131","0","85","0","0","100","0","0","80","43","59","43","41","53","C","E","E","D","-","39","10","11","20","-","Strike","Smithing Art Spears","18","22.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Anvil+Hammer"
"Shadow Sunflower Blossom","Colossal Weapon","114","0","0","0","114","100","0","0","55","37","37","37","64","46","D","E","-","D","-","24","8","-","25","-","Strike","Shadow Sunflower Headbutt","16","16.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Shadow+Sunflower+Blossom"
"Gazing Finger","Colossal Weapon","133","86","0","0","0","100","0","0","66","50","38","38","38","46","C","-","D","E","-","20","8","20","14","-","Strike","Kowtower's Resentment","31","15","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Gazing+Finger"
"Short Spear","Spear","112","0","0","0","0","100","0","0","40","25","25","25","25","30","D","D","-","-","-","10","10","-","-","-","Pierce","Impaling Thrust","14","4","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Short+Spear"
"Iron Spear","Spear","114","0","0","0","0","100","0","0","42","26","26","26","26","31","D","D","-","-","-","13","11","-","-","-","Pierce","Charge Forth","16","4.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Iron+Spear"
"Spear","Spear","114","0","0","0","0","100","0","0","42","26","26","26","26","31","E","D","-","-","-","12","15","-","-","-","Pierce","Impaling Thrust","9","4.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Spear"
"Partisan","Spear","123","0","0","0","0","100","0","0","48","30","30","30","30","36","D","D","-","-","-","15","12","-","-","-","Slash/Pierce","Impaling Thrust","9","6.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Partisan"
"Pike","Spear","115","0","0","0","0","100","0","0","53","33","33","33","33","39","D","D","-","-","-","20","14","-","-","-","Pierce","Charge Forth","16","7.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Pike"
"Spiked Spear","Spear","120","0","0","0","0","100","0","0","46.0","28.0","28.0","28.0","28.0","34","D","D","-","-","-","14","16","-","-","-","Strike/Pierce","Impaling Thrust","9","6.0","-","-","50","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Spiked+Spear"
"Cross-Naginata","Spear","122","0","0","0","0","100","0","0","52","32","32","32","32","39","D","C","-","-","-","16","20","-","-","-","Slash/Pierce","Impaling Thrust","9","8","-","-","50","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Cross-Naginata"
"Torchpole","Spear","104","0","31","0","0","100","0","0","48","26","33","26","26","34","D","D","-","-","-","14","15","-","-","-","Pierce","Charge Forth","16","6","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Torchpole"
"Crystal Spear","Spear","110","33","0","0","0","100","0","0","48","33","26","26","26","33","E","D","E","-","-","10","16","16","-","-","Pierce","Impaling Thrust","9","5.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Crystal+Spear"
"Rotten Crystal Spear","Spear","104","31","0","0","0","100","0","0","48","33","26","26","26","33","E","D","E","-","-","10","16","16","-","-","Pierce","Charge Forth","16","5.5","-","-","-","-","55","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Rotten+Crystal+Spear"
"Cleanrot Spear","Spear","102","0","0","0","66","100","0","0","49","25","25","25","38","33","D","D","-","D","-","16","16","-","14","-","Pierce","Sacred Phalanx","12","5.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Cleanrot+Spear"
"Death Ritual Spear","Spear","99","64","0","0","0","110","0","0","54","42","27","27","27","36","E","D","D","-","-","14","20","18","-","-","Pierce","Spearcall Ritual","20","6.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Death+Ritual+Spear"
"Bolt of Gransax","Spear","98","0","0","63","0","100","0","0","60","31","31","47","31","40","D","D","-","-","-","20","40","-","-","-","Pierce","Ancient Lightning Spear","25","8.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Bolt+of+Gransax"
"Smithscript Spear","Spear","107","0","0","0","0","100","0","0","38","23","23","23","23","28","D","D","E","E","-","9","12","11","11","-","Standard/Pierce","Impaling Thrust","9","4.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Smithscript+Spear"
"Swift Spear","Spear","99","0","0","0","0","100","0","0","40","25","25","25","25","30","-","D","-","-","-","10","26","-","-","-","Standard/Pierce","Impaling Thrust","9","3.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Swift+Spear"
"Lance","Great Spear","123","0","0","0","0","100","0","0","57","36","36","36","36","44","D","D","-","-","-","20","14","-","-","-","Pierce","Charge Forth","16","9.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Lance"
"Treespear","Great Spear","122","0","0","0","79","100","0","0","55","35","35","35","48","45","D","D","-","D","-","15","22","-","18","-","Pierce","Sacred Order","18","9.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Treespear"
"Serpent-Hunter","Great Spear","111","0","0","0","0","100","0","0","72","42","42","42","42","50","B","E","-","-","-","-","-","-","-","-","Pierce","Great-Serpent Hunt","15","12","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Serpent-Hunter"
"Spear of the Impaler","Great Spear","85","0","102","0","0","100","0","0","48","32","32","64","32","45","E","C","-","D","-","14","35","-","18","-","Standard/Pierce","Messmer's Assault","15","9.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Spear+of+the+Impaler"
"Barbed Staff-Spear","Great Spear","86","0","0","0","86","100","0","0","42","31","31","31","45","37","E","E","-","C","-","14","18","-","22","-","Standard/Pierce","Jori's Inquisition","4","7.5","-","-","55","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Barbed+Staff-Spear"
"Halberd","Halberd","125","0","0","0","0","100","0","0","55","35","35","35","35","42","D","D","-","-","-","14","12","-","-","-","Standard/Pierce","Charge Forth","16","8.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Halberd"
"Lucerne","Halberd","121","0","0","0","0","100","0","0","52","33","33","33","33","39","D","C","-","-","-","15","12","-","-","-","Pierce","Charge Forth","16","7.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Lucerne"
"Glaive","Halberd","132","0","0","0","0","100","0","0","60","38","38","38","38","46","D","D","-","-","-","18","15","-","-","-","Pierce","Spinning Slash","6","10","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Glaive"
"Vulgar Militia Shotel","Halberd","121","0","0","0","0","100","0","0","55","35","35","35","35","42","E","C","-","-","-","14","16","-","-","-","Standard/Pierce","Spinning Slash","6","8.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Vulgar+Militia+Shotel"
"Vulgar Militia Saw","Halberd","126","0","0","0","0","100","0","0","55","35","35","35","35","42","D","D","-","-","-","15","13","-","-","-","Standard/Pierce","Spinning Slash","6","8.0","-","-","55","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Vulgar+Militia+Saw"
"Nightrider Glaive","Halberd","129","0","0","0","0","100","0","0","66","42","42","42","42","50","C","E","-","-","-","26","10","-","-","-","Slash/Pierce","Spinning Slash","6","12.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Nightrider+Glaive"
"Ripple Crescent Halberd","Halberd","86","0","0","0","0","100","0","0","56","35","35","35","35","43","-","-","-","-","B","12","12","-","-","20","Standard/Pierce","-","-","8.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Ripple+Crescent+Halberd"
"Golden Halberd","Halberd","134","0","0","0","87","100","0","0","65","41","41","41","56","52","D","E","-","D","-","30","14","-","12","-","Standard/Pierce","Golden Vow","40","13.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Golden+Halberd"
"Dragon Halberd","Halberd","135","0","0","0","0","100","0","0","58","37","37","50","37","47","D","D","-","-","-","22","10","-","-","-","Standard/Pierce","Spinning Slash","17","10.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Dragon+Halberd"
"Spirit Glaive","Halberd","121","36","0","0","0","100","0","0","47","38","33","33","33","39","D","D","D","-","-","14","17","16","-","-","Slash/Pierce","Rancor Slash","12","6.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Spirit+Glaive"
"Poleblade of the Bud","Halberd","131","0","0","0","0","100","0","0","60","38","38","38","38","46","E","D","-","-","D","14","22","-","-","20","Slash/Pierce","Romina's Purification","24","10.0","-","-","-","-","55","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Poleblade+of+the+Bud"
"Scythe","Reaper","125","0","0","0","0","100","0","0","45","30","30","30","30","30","E","C","-","-","-","14","14","-","-","-","Slash","Spinning Slash","6","7.5","-","-","55","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Scythe"
"Grave Scythe","Reaper","144","0","0","0","0","100","0","0","49","33","33","33","33","33","D","D","-","-","-","17","13","-","-","-","Slash","Spinning Slash","6","9.5","-","-","55","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Grave+Scythe"
